¿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,Serial #,Date,Time,Operator,Name,Latitude,Longitude,Altitude,Application,Method,CalFile1,Calfile2,CalFile3,Beam1,Beam2,Beam3,Elapsed,Sigma,Cal Check,MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,ID,Field1,Field2
1,800N10922,2022/11/04,11:22:34,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.5,60,3,Passed,6479,9661,201777,7039,431605,6880,191,212,0,242,193,103,3437,186,1311,126,15099,598,213,253,494,119,735,65,162497,728,61,150,176,43,349,28,23,8,17,10,10,48,0,6,26,6,23,7,16,6,0,0,16,5,104,7,0,12,0,14,0,0,2,4,7,70,0,3,,,194,93,0,249,36,140,0,94,37,97,0,24,,,0,15,0,19,4,17,0,26,0,16,5,8,1,9,,,
2,800N10922,2022/11/04,11:23:50,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.9,17.4,60,3,Passed,6241,9990,205418,7138,437361,6943,118,216,0,250,143,103,3334,188,1256,129,15715,612,145,257,521,120,819,66,167824,741,249,152,200,42,329,25,24,8,21,9,30,50,5,6,27,6,29,7,14,6,0,0,14,5,107,8,,,,,0,0,1,3,0,70,0,1,,,179,91,0,247,63,133,0,89,8,95,0,22,0,23,0,16,4,18,0,17,0,27,0,15,0,8,2,9,,,
3,800N10922,2022/11/04,11:25:17,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.5,17.8,17.5,60,3,Passed,5001,8860,201585,7017,435071,6915,123,209,0,242,141,102,3411,188,1334,128,15264,601,87,249,551,119,781,64,163315,730,18,149,179,42,345,27,25,8,18,10,16,49,4,7,21,6,26,7,13,6,0,0,15,4,105,7,0,12,0,14,0,0,0,4,0,70,0,3,,,239,92,19,248,79,138,0,95,35,97,0,23,,,0,16,0,16,1,17,0,28,0,16,1,8,0,9,,,
4,800N10922,2022/11/04,11:27:11,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.4,60,3,Passed,7575,9847,199814,7049,432842,6894,12,211,0,252,113,102,3360,187,1257,126,15347,605,177,256,548,122,748,66,168695,743,24,151,161,41,344,27,25,8,23,9,18,49,0,6,23,6,27,7,15,6,0,0,17,5,101,7,0,12,0,14,0,0,1,4,0,70,0,3,,,162,91,37,251,87,136,0,96,0,98,0,22,15,27,,,0,18,2,16,0,26,0,15,7,8,3,8,,,
5,800N10922,2022/11/04,11:28:26,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.5,60,3,Passed,8802,9376,207025,7127,432545,6895,107,215,0,246,154,103,3342,187,1314,128,15049,597,306,257,437,118,773,64,163779,731,86,149,195,43,351,27,21,8,18,10,33,52,1,6,23,6,23,7,14,6,0,0,17,5,97,7,0,12,,,0,0,0,3,0,70,0,1,,,172,92,0,249,77,136,0,96,0,88,0,24,,,0,16,0,18,0,17,0,26,0,15,4,8,3,10,,,
6,800N10922,2022/11/04,11:30:53,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.5,60,3,Passed,6102,9317,202539,7042,435218,6914,176,214,0,248,125,102,3358,187,1292,128,15022,592,119,244,537,115,831,63,162933,729,93,149,207,44,359,28,28,9,21,10,48,50,3,6,25,6,26,7,17,6,0,0,15,5,98,8,0,12,0,14,0,0,1,4,0,69,0,2,,,224,92,0,246,116,137,0,94,0,94,0,22,23,27,0,15,2,18,3,16,0,25,0,15,6,8,6,10,,,
7,800N10922,2022/11/04,11:32:29,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.5,60,3,Passed,7870,9549,205966,7106,433273,6901,105,212,0,244,173,102,3425,185,1349,127,14900,595,144,252,490,119,749,66,162753,729,168,150,188,44,336,27,23,9,19,10,24,49,4,6,24,6,23,7,15,6,0,0,12,5,105,8,0,12,0,14,0,0,1,3,0,69,0,1,,,215,92,126,252,108,137,0,96,15,95,0,26,,,0,15,0,18,3,18,0,27,0,16,0,8,3,10,,,
8,800N10922,2022/11/04,11:33:46,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.5,60,3,Passed,11116,9632,207844,7141,435693,6921,200,208,0,243,141,102,3414,187,1247,128,15083,595,289,249,492,116,771,63,163211,730,150,149,181,42,345,27,27,9,23,9,30,51,1,6,24,6,30,7,10,6,0,0,14,5,98,8,0,12,0,14,,,0,3,0,71,0,0,,,222,92,45,245,61,134,6,95,0,95,0,22,13,27,0,15,0,20,0,16,0,27,0,17,0,8,4,10,,,
9,800N10922,2022/11/04,11:35:05,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.6,17.8,17.4,60,3,Passed,8526,9625,208949,7172,439704,6962,131,213,0,245,130,102,3326,187,1302,128,15068,598,157,250,599,122,726,64,165096,734,209,149,179,42,336,27,25,8,24,10,27,50,0,6,24,6,29,7,14,6,0,0,16,5,97,7,0,12,0,14,0,0,0,2,32,70,0,0,,,224,91,160,247,115,130,0,92,22,91,0,23,,,,,9,17,0,16,0,25,0,15,5,8,5,9,,,
10,800N10922,2022/11/04,11:38:47,SERVICE,OREAS 45f,0,0,0,GeoExploration,Oxide3phase,Oxide3phase,Oxide3phase,Oxide3phase,16.5,17.8,17.4,60,3,Passed,753,9384,206093,7122,437678,6948,41,213,0,247,136,102,3355,188,1168,127,15459,609,79,256,552,125,656,68,167781,741,192,153,199,44,341,26,24,8,21,9,6,46,5,6,23,6,26,7,12,6,0,0,13,4,94,7,,,0,14,0,0,0,3,0,71,0,1,,,205,91,92,247,95,132,0,93,0,95,0,24,,,0,16,0,18,0,16,0,26,0,14,4,8,5,9,,,
