File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Zn,Zn Err,Ga,Ga Err,Rb,Rb Err,Sr,Sr Err,Zr,Zr Err,Nb,Nb Err,Sn,Sn Err,Cs,Cs Err,Ba,Ba Err,Ta,Ta Err,W,W Err,Tl,Tl Err,Pb,Pb Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1/02/2006 13:35,Supervisor,MAD213,595,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1426,5.278,0.1008,21.1339,0.17,0.0141,0.0136,0.185,0.0095,1.5499,0.0163,0.5598,0.0095,0.0165,0.0024,0.003,0.002,0.0261,0.0012,0.0356,0.001,0.0105,0.0012,0.0027,0.0005,0.0026,0.0014,0.0036,0.0033,0.1388,0.0112,< LOD,0.0014,< LOD,0.0036,0.0012,0.001,0.0056,0.0017,0.0211,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1/02/2006 13:38,Supervisor,MAD213,595.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1343,6.8199,0.1083,23.8401,0.181,< LOD,0.0112,0.0797,0.0067,4.8038,0.0268,0.477,0.0097,< LOD,0.0015,0.003,0.0019,0.0134,0.0008,0.0168,0.0008,< LOD,0.0006,< LOD,0.0004,0.0014,0.0014,< LOD,0.0038,0.0705,0.01,< LOD,0.0013,< LOD,0.0031,< LOD,0.001,< LOD,0.0013,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1/02/2006 13:40,Supervisor,MAD213,596,Li Index,Li Index,60,,0,,0,,0,< LOD,0.141,4.9638,0.0912,17.5708,0.1524,0.0245,0.0128,0.1726,0.009,5.2847,0.0279,0.2888,0.0082,0.0023,0.0014,0.0017,0.0017,0.0693,0.0021,0.0117,0.0007,< LOD,0.0005,< LOD,0.0003,< LOD,0.0013,< LOD,0.0032,0.0642,0.0093,< LOD,0.0012,< LOD,0.004,< LOD,0.0012,< LOD,0.0014,0.0347,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File #,DateTime,Operator,Sample Name,Sample ID,Application,Method,ElapsedTime,Alloy 1,Match Qual 1,Alloy 2,Match Qual 2,Alloy 3,Match Qual 3,Li,Li Err,Be,Be Err,Mg,Mg Err,Al,Al Err,Si,Si Err,P,P Err,S,S Err,K,K Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Ru,Ru Err,Rh,Rh Err,Pd,Pd Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Cs,Cs Err,Ba,Ba Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Re,Re Err,Os,Os Err,Ir,Ir Err,Pt,Pt Err,Au,Au Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,U,U Err,Li_IDX,Li_IDX Err,Multiplier,Cal Check
2,1/02/2006 7:04,Supervisor,MAD213,596.5,Li Index,Li Index,60,PWA1497,0,TMS138,0,TMS138ARu,0,,,,,< LOD,0.1832,4.4305,0.0922,15.224,0.1446,< LOD,0.0153,0.1777,0.0099,3.5605,0.0239,0.6582,0.0104,,,,,,,,,,,,,,,,,< LOD,0.0015,0.0025,0.0019,,,,,0.0808,0.0022,0.0071,0.0006,,,< LOD,0.0005,< LOD,0.0003,,,,,,,,,,,,,,,0.0018,0.0013,,,,,< LOD,0.0031,0.1005,0.0101,,,< LOD,0.0014,< LOD,0.0042,,,,,,,,,,,< LOD,0.0011,0.0051,0.0017,,,,,0.0402,0,3,Passed
7,1/02/2006 13:42,Supervisor,MAD213,597,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1364,7.6277,0.1196,34.4781,0.2282,0.2093,0.0189,0.0648,0.0063,0.3051,0.0081,0.9116,0.0115,< LOD,0.0016,0.0024,0.0019,0.0055,0.0005,0.0148,0.0007,< LOD,0.0006,0.0101,0.0007,0.0017,0.0013,< LOD,0.004,0.0425,0.0106,< LOD,0.0012,< LOD,0.0031,< LOD,0.0009,0.0022,0.0013,0.0338,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1/02/2006 13:44,Supervisor,MAD213,597.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1365,4.2597,0.092,22.8694,0.1762,< LOD,0.0123,0.1542,0.0084,0.5398,0.01,0.8379,0.0106,< LOD,0.0015,0.0026,0.0019,0.0284,0.0012,0.0066,0.0005,< LOD,0.0005,0.0017,0.0004,< LOD,0.0013,< LOD,0.0031,0.0112,0.0095,< LOD,0.0013,< LOD,0.0035,0.0012,0.0011,0.0062,0.0017,0.0193,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1/02/2006 13:46,Supervisor,MAD213,598,Li Index,Li Index,45,,0,,0,,0,0.1462,0.1246,3.6103,0.0855,30.0499,0.2066,< LOD,0.0102,0.1325,0.0076,0.4643,0.0095,0.6077,0.0095,0.0021,0.0021,0.0033,0.0025,0.0044,0.0008,0.0032,0.0006,< LOD,0.0007,0.0036,0.0008,< LOD,0.0018,< LOD,0.0048,< LOD,0.0135,< LOD,0.0016,< LOD,0.0044,< LOD,0.0013,0.0063,0.0022,0.0133,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1/02/2006 13:47,Supervisor,MAD213,598.5,Li Index,Li Index,60,,0,,0,,0,< LOD,0.1255,3.6887,0.0858,27.464,0.1957,< LOD,0.0108,0.1636,0.0083,0.9753,0.013,0.5924,0.0095,0.0019,0.0016,< LOD,0.0017,0.0099,0.0008,0.0026,0.0004,< LOD,0.0005,< LOD,0.0004,< LOD,0.0013,< LOD,0.0033,< LOD,0.0095,< LOD,0.0012,< LOD,0.0035,< LOD,0.001,0.0051,0.0015,0.006,0,3,Passed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
